iter	MultiClass
0	1.077628856
1	1.060496084
2	1.0465605
3	1.035396615
4	1.026480997
5	1.018818438
6	1.012017586
7	1.006965695
8	1.002318483
9	0.9985848901
10	0.9954467238
11	0.9929796834
12	0.9906891018
13	0.9886477952
14	0.9869889418
15	0.9856047323
16	0.9841484823
17	0.9828483903
18	0.9818466226
19	0.9808794393
20	0.9800185958
21	0.978896684
22	0.9779988272
23	0.9776098834
24	0.976834034
25	0.9764056254
26	0.9757590103
27	0.9753088977
28	0.9748998441
29	0.9745654825
30	0.9737995897
31	0.9733238604
32	0.9728792816
33	0.9720870829
34	0.9716863163
35	0.9712718641
36	0.9708934669
37	0.9705390767
38	0.9700865677
39	0.9698340124
40	0.9693724079
41	0.9690941556
42	0.9688157552
43	0.9685643473
44	0.9681950959
45	0.9677515296
46	0.9672416806
47	0.9667508282
48	0.9663882094
49	0.9659846006
50	0.9657410072
51	0.9654800487
52	0.9651440175
53	0.9647867512
54	0.9643956304
55	0.9640524901
56	0.9638213411
57	0.9633332924
58	0.9630733073
59	0.9627225602
60	0.9623929547
61	0.962009725
62	0.9617651079
63	0.9613985814
64	0.9609830905
65	0.9608176984
66	0.9606612527
67	0.9604176397
68	0.9602866166
69	0.9600911953
70	0.9597379252
71	0.9595000851
72	0.9592767796
73	0.9590091298
74	0.9587440571
75	0.9583140362
76	0.9581504968
77	0.9579648318
78	0.9576149328
79	0.9572422741
80	0.9571078358
81	0.9568944044
82	0.9567720209
83	0.9565574347
84	0.95638552
85	0.9562572562
86	0.9558537879
87	0.9557341894
88	0.9553371019
89	0.9551524379
90	0.9548663469
91	0.9545576172
92	0.9543211455
93	0.9540588216
94	0.9537691076
95	0.9533862889
96	0.9530663115
97	0.952892615
98	0.952591409
99	0.9523362692
100	0.9520323444
101	0.9517748798
102	0.9515204056
103	0.9512286691
104	0.951006464
105	0.9507357979
106	0.9505749801
107	0.9503740004
108	0.9501169043
109	0.9500059382
110	0.9497940585
111	0.9495830273
112	0.9492116145
113	0.9488894331
114	0.9486973531
115	0.9484787545
116	0.9481896348
117	0.9479234226
118	0.9477387965
119	0.9475459517
120	0.9473101416
121	0.9470884705
122	0.946809109
123	0.9465547278
124	0.9463112353
125	0.9460500762
126	0.9457590296
127	0.9455148729
128	0.9452649619
129	0.9451171388
130	0.9448959332
131	0.9447072586
132	0.9444510984
133	0.944224973
134	0.9439586057
135	0.9436055112
136	0.9433463102
137	0.9431901611
138	0.9429594772
139	0.942748275
140	0.9425243203
141	0.942285158
142	0.9421018107
143	0.9419662528
144	0.9417088026
145	0.9414797766
146	0.9412973376
147	0.9410295667
148	0.94075257
149	0.9404717716
150	0.94025226
151	0.9399442861
152	0.9397152504
153	0.9395288477
154	0.9392491742
155	0.9389903427
156	0.9388118851
157	0.9385951063
158	0.9383331384
159	0.9380461993
160	0.9378110887
161	0.9374815013
162	0.9372902936
163	0.93712875
164	0.9368004652
165	0.9366107925
166	0.9364603829
167	0.9362778776
168	0.9359705917
169	0.9356621729
170	0.9353681377
171	0.9350780312
172	0.9349161543
173	0.9346410631
174	0.93437432
175	0.9341137998
176	0.9338912231
177	0.9337171894
178	0.9334024242
179	0.9331149159
180	0.9328793182
181	0.9327046293
182	0.9324096384
183	0.9322281433
184	0.9320286575
185	0.9318776649
186	0.93167203
187	0.9314025965
188	0.9311112279
189	0.9309471204
190	0.9306800744
191	0.9304871415
192	0.9302788498
193	0.9298771685
194	0.9296899135
195	0.9295172082
196	0.9293853466
197	0.9291287874
198	0.9289757518
199	0.9288158059
200	0.9286665782
201	0.9284182043
202	0.9282658109
203	0.9280418016
204	0.9278690257
205	0.927588343
206	0.9274310276
207	0.9271430226
208	0.9268608402
209	0.926650457
210	0.9265474336
211	0.9262454897
212	0.9259644113
213	0.9258271631
214	0.9256768353
215	0.9254671131
216	0.9252025906
217	0.9249806092
218	0.9247563974
219	0.9244338611
220	0.9242036228
221	0.9239679184
222	0.9238385295
223	0.9236126675
224	0.9233752801
225	0.9231106104
226	0.9228324526
227	0.9225905082
228	0.9224137207
229	0.9221999516
230	0.9219785557
231	0.9218292587
232	0.9216086844
233	0.9214222431
234	0.9211541267
235	0.9210003863
236	0.9208955835
237	0.9206946804
238	0.9204898772
239	0.9202598187
240	0.9200033438
241	0.9197531183
242	0.9194866656
243	0.9192628229
244	0.9190519997
245	0.9188551566
246	0.9186571033
247	0.918448263
248	0.9181862187
249	0.9179061078
250	0.9176923484
251	0.917561186
252	0.9173518369
253	0.9171667379
254	0.9169410031
255	0.9167448433
256	0.9165744651
257	0.9164082448
258	0.916170372
259	0.9159602816
260	0.9158875987
261	0.915673956
262	0.9154401152
263	0.9153026608
264	0.9151967562
265	0.9149357422
266	0.9147506936
267	0.9145823986
268	0.9144409781
269	0.9142495859
270	0.9140447036
271	0.913845589
272	0.9136488912
273	0.9134397716
274	0.9131959679
275	0.9130318446
276	0.9128300225
277	0.9126611581
278	0.9124763067
279	0.9122072053
280	0.912049162
281	0.9118721606
282	0.9117655628
283	0.9115250537
284	0.9112167516
285	0.9110955159
286	0.910968736
287	0.910790801
288	0.9105676467
289	0.9103501129
290	0.9101317549
291	0.9099503199
292	0.9098040414
293	0.9096354592
294	0.9094467659
295	0.9092500134
296	0.9090131112
297	0.9087550055
298	0.9084975759
299	0.9083366004
300	0.908044565
301	0.907818255
302	0.9075771447
303	0.9073533654
304	0.9072388154
305	0.9069965115
306	0.9068634141
307	0.9066565737
308	0.9065305581
309	0.9062552
310	0.9060023601
311	0.9057987359
312	0.9056406286
313	0.9054867369
314	0.9052668076
315	0.9051028116
316	0.9049158623
317	0.904642289
318	0.9044513336
319	0.9042690315
320	0.9040716254
321	0.9038305392
322	0.903691542
323	0.9035992507
324	0.9034889506
325	0.9031906394
326	0.9030072203
327	0.9028481491
328	0.9025615257
329	0.9022740788
330	0.902125965
331	0.9019647807
332	0.901753515
333	0.9016034951
334	0.9014120142
335	0.9012427013
336	0.9010173846
337	0.9007838777
338	0.9005825919
339	0.9004456692
340	0.9003229851
341	0.9001250395
342	0.8999337456
343	0.8997599142
344	0.8995486695
345	0.8994017586
346	0.8993155006
347	0.8991232423
348	0.8989146951
349	0.8987398273
350	0.8985577971
351	0.89837707
352	0.8982325212
353	0.8979412567
354	0.8977753896
355	0.8975034745
356	0.8973393618
357	0.897160863
358	0.8969505774
359	0.8967281373
360	0.8965018124
361	0.8963262988
362	0.8961742929
363	0.8960027121
364	0.8958732371
365	0.8956070475
366	0.8953849235
367	0.8951658877
368	0.8949931326
369	0.8947941459
370	0.8946056851
371	0.8944245393
372	0.8941159117
373	0.8939188845
374	0.8937328703
375	0.8935584644
376	0.8934071219
377	0.8932892939
378	0.8931375076
379	0.892979614
380	0.8928180704
381	0.8925931762
382	0.8923476434
383	0.8921810286
384	0.89201904
385	0.8917512633
386	0.8916234604
387	0.8914319638
388	0.8913203815
389	0.8912152254
390	0.8910401228
391	0.8908519533
392	0.8906245794
393	0.8904463944
394	0.8902591214
395	0.8901561739
396	0.8898442952
397	0.889680291
398	0.889531693
399	0.8893901312
400	0.8892836136
401	0.8891397511
402	0.8889610132
403	0.8887639663
404	0.8885613904
405	0.8882502652
406	0.8881331116
407	0.8879180946
408	0.8877981995
409	0.8875438894
410	0.8873575966
411	0.8871266908
412	0.8869906196
413	0.8867630498
414	0.8865985904
415	0.8863787125
416	0.8861811122
417	0.8859993263
418	0.8858348142
419	0.8856316819
420	0.8854821983
421	0.8853260194
422	0.8852136678
423	0.8851276202
424	0.8849697869
425	0.8848247861
426	0.8846760698
427	0.8844925489
428	0.8842982673
429	0.8842103686
430	0.8840629626
431	0.8838851203
432	0.8837631932
433	0.8836430699
434	0.8834514508
435	0.8833068115
436	0.8831856829
437	0.8830212103
438	0.8828947838
439	0.8826843948
440	0.8824514015
441	0.8823459144
442	0.8821917949
443	0.881957675
444	0.881764767
445	0.8815898042
446	0.8814697595
447	0.8813324831
448	0.8812629616
449	0.8811720303
450	0.8810108654
451	0.8808652839
452	0.8806624119
453	0.8804656682
454	0.8802967593
455	0.8800977313
456	0.8799071349
457	0.8797453569
458	0.8796564203
459	0.8795204045
460	0.8793618451
461	0.8792007256
462	0.8789865185
463	0.8788078202
464	0.8785842659
465	0.8784182669
466	0.8782353326
467	0.8780022002
468	0.8778982447
469	0.8777121116
470	0.8774121103
471	0.8773076171
472	0.8770895639
473	0.8769514884
474	0.8767586923
475	0.8766435582
476	0.8764983821
477	0.876348253
478	0.8761254603
479	0.8759653951
480	0.8757172855
481	0.8755490716
482	0.8753293382
483	0.8751168465
484	0.87499704
485	0.8749380775
486	0.8748344003
487	0.8746858025
488	0.8745772771
489	0.874437827
490	0.8742040224
491	0.8741083203
492	0.8738771649
493	0.8736520002
494	0.8735525693
495	0.8733971347
496	0.8732592484
497	0.8730699122
498	0.8728560445
499	0.8726768086
500	0.872527808
501	0.8723827667
502	0.8722137833
503	0.871983398
504	0.8718386365
505	0.8716525643
506	0.8714956174
507	0.871392983
508	0.8711606913
509	0.8710011968
510	0.8708532907
511	0.8706882313
512	0.8705349965
513	0.8702834521
514	0.8700830888
515	0.869928079
516	0.8698158524
517	0.8695572953
518	0.8693550646
519	0.8691833933
520	0.8690192356
521	0.8688590928
522	0.8687191384
523	0.868544997
524	0.8683612915
525	0.8682248426
526	0.8681511052
527	0.8679356714
528	0.8677670104
529	0.8676244803
530	0.8674920292
531	0.8672988099
532	0.8671927331
533	0.8670701504
534	0.866899669
535	0.8667253908
536	0.866662788
537	0.8665135072
538	0.8663450506
539	0.8661038887
540	0.8658825769
541	0.8657276579
